acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.21,0.03,0.98,5.95,-1.51,5.68,31.02
0.21,0.05,0.97,4.24,-0.55,6.21,31.07
0.22,0.06,0.97,1.27,1.79,4.38,30.93
0.22,0.06,0.97,-0.21,2.41,3.22,31.02
0.22,0.03,0.95,2.09,1.73,1.77,31.02
0.2,0.03,0.95,4.37,-0.99,1.85,31.07
0.2,0.02,0.95,5.19,-2.35,1.8,31.02
0.2,0.02,0.94,1.39,-2.03,-0.56,31.07
0.21,0.02,0.97,-2.49,-0.96,-0.12,31.07
0.21,0.01,0.97,-2.4,0.41,1.24,31.12
0.2,0.02,0.97,-0.29,1.21,2.47,30.98
0.21,0.04,0.96,2.08,0.24,3.31,31.07
0.21,0.05,0.95,3.47,-0.15,2.4,31.02
0.2,0.05,0.97,3.37,1.16,0.92,31.02
0.2,0.06,0.94,-0.55,2.32,-0.06,31.17
0.2,0.03,0.92,-2.63,0.87,0.26,30.93
0.2,0.03,0.91,-2.46,-1.36,-0.67,31.12
0.2,0.02,0.95,-0.27,-3.57,-0.17,30.98
0.2,0.03,0.96,0.0,-3.66,0.0,30.93
0.2,0.03,0.99,-0.63,-0.85,0.05,31.02
0.21,0.05,0.98,-2.84,2.87,0.47,31.07
0.2,0.05,0.96,-6.24,3.71,0.76,31.07
0.2,0.03,0.95,-6.2,1.91,-0.06,31.02
0.18,0.02,0.96,-0.98,-0.56,0.63,31.07
0.17,0.01,0.94,4.47,-2.47,0.75,31.07
0.18,0.03,0.96,2.5,-3.11,0.85,31.02
0.21,0.02,0.98,-0.9,-2.52,-0.47,30.88
0.2,0.04,0.99,-2.67,-0.03,-0.58,31.07
0.2,0.05,0.98,-2.31,1.44,-1.24,31.02
0.2,0.03,0.97,0.31,1.34,-1.31,31.02
0.2,0.02,0.98,1.3,1.07,-0.84,30.98
0.2,0.01,0.99,0.64,1.01,-0.85,30.93
0.19,0.02,0.98,-1.24,2.32,0.67,31.12
0.19,0.02,0.97,-1.62,3.22,1.31,31.07
0.19,0.02,0.96,-1.98,3.22,1.73,30.98
0.2,0.03,0.96,-1.37,1.76,1.66,31.02
0.19,0.04,0.95,-0.69,0.87,1.95,30.98
0.19,0.04,0.95,-0.02,0.08,1.54,31.17
