acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.25,-0.04,0.95,-0.89,-0.11,1.47,30.69
0.24,-0.05,0.95,-0.02,0.05,2.15,30.79
0.25,-0.05,0.95,0.53,-0.09,1.19,30.74
0.24,-0.05,0.94,-1.22,-0.81,0.27,30.84
0.24,-0.05,0.95,-1.47,-1.39,0.76,30.69
0.24,-0.05,0.97,0.55,-0.43,1.76,30.74
0.25,-0.05,0.97,2.73,0.23,1.42,30.74
0.25,-0.05,0.95,1.21,0.64,1.02,30.79
0.25,-0.05,0.94,-1.31,0.29,1.59,30.79
0.25,-0.05,0.95,-1.48,0.0,1.76,30.74
0.25,-0.05,0.95,-0.14,0.46,1.97,30.69
0.24,-0.05,0.96,1.77,1.05,1.92,30.69
0.24,-0.05,0.95,0.64,1.21,0.44,30.74
0.25,-0.06,0.95,-0.81,1.02,-0.18,30.88
0.25,-0.06,0.94,-0.82,0.72,0.21,30.79
0.25,-0.05,0.94,-0.63,0.12,0.64,30.74
0.25,-0.05,0.95,-1.94,-1.05,0.66,30.74
0.24,-0.05,0.95,-1.18,-0.93,1.24,30.79
0.24,-0.06,0.96,1.11,0.11,2.17,30.74
0.24,-0.07,0.97,2.46,1.02,2.37,30.74
0.24,-0.07,0.95,1.16,0.58,1.01,30.69
0.24,-0.06,0.95,-0.11,0.38,0.78,30.79
0.24,-0.06,0.93,0.24,0.34,0.5,30.74
0.24,-0.06,0.95,2.06,-0.49,1.01,30.69
0.25,-0.05,0.95,2.95,-0.53,1.31,30.79
0.24,-0.06,0.95,0.12,-0.32,0.53,30.74
0.23,-0.06,0.94,-2.09,-0.18,0.17,30.84
0.24,-0.06,0.96,-1.28,0.56,1.11,30.79
0.24,-0.06,0.96,0.72,0.81,1.85,30.84
0.25,-0.06,0.96,1.34,0.14,1.44,30.84
0.25,-0.06,0.94,0.38,0.38,0.44,30.74
0.25,-0.04,0.96,1.39,0.35,1.01,30.69
0.24,-0.05,0.94,1.07,0.85,0.98,30.74
0.24,-0.05,0.94,1.65,0.72,1.53,30.79
0.25,-0.04,0.94,0.34,0.15,2.58,30.79
0.24,-0.05,0.95,0.02,-0.2,2.67,30.84
0.24,-0.05,0.95,-0.89,0.4,1.77,30.74
0.25,-0.05,0.95,-0.69,0.7,1.28,30.79
0.25,-0.04,0.96,0.46,0.7,0.4,30.84
0.26,-0.04,0.95,0.41,0.76,0.46,30.84
0.25,-0.04,0.94,1.1,0.34,-0.67,30.79
0.25,-0.05,0.95,1.28,0.76,-0.5,30.69
0.25,-0.05,0.94,-0.24,0.9,0.09,30.74
0.24,-0.06,0.95,-1.53,0.69,0.81,30.84
0.24,-0.06,0.94,-1.57,0.9,1.92,30.79
0.24,-0.06,0.94,-0.53,0.72,1.92,30.74
0.24,-0.05,0.95,1.36,0.72,2.32,30.74
0.24,-0.05,0.95,2.69,1.11,1.68,30.69
0.24,-0.06,0.94,2.84,0.49,0.84,30.74
0.24,-0.05,0.94,1.02,-0.5,0.26,30.74
0.25,-0.05,0.95,-1.1,-1.36,1.05,30.69
0.24,-0.05,0.95,-0.44,-0.17,2.2,30.79
0.24,-0.07,0.96,3.13,1.15,3.37,30.65
0.25,-0.06,0.95,2.38,1.62,2.85,30.69
0.24,-0.06,0.95,-0.24,-0.06,2.52,30.88
0.25,-0.05,0.94,-0.69,0.27,1.34,30.84
0.24,-0.05,0.97,-0.24,1.22,1.28,30.84
0.24,-0.06,0.95,1.83,1.73,1.6,30.69
0.24,-0.06,0.97,-0.06,2.11,1.88,30.74
0.25,-0.06,0.93,-0.89,2.31,1.89,30.84
0.25,-0.05,0.93,-2.05,2.26,1.65,30.79
0.24,-0.06,0.92,-0.31,1.19,1.66,30.79
0.24,-0.04,0.92,0.26,-0.56,0.35,30.74
0.24,-0.05,0.95,-0.85,-1.66,1.1,30.88
0.24,-0.05,0.95,1.16,-1.02,2.31,30.79
0.25,-0.04,0.93,1.82,-0.05,2.05,30.74
0.25,-0.05,0.95,2.09,-1.59,2.29,30.84
0.26,-0.04,0.95,0.78,-2.44,1.86,30.79
0.25,-0.05,0.96,1.31,-1.74,1.33,30.84
0.25,-0.05,0.97,2.67,0.44,1.15,30.74
0.27,-0.05,0.96,1.28,0.89,-0.38,30.84
0.27,-0.05,0.94,0.37,0.31,0.53,30.88
0.26,-0.06,0.96,-1.6,-0.09,0.49,30.84
0.25,-0.05,0.97,-0.03,0.98,1.15,30.69
0.25,-0.06,0.97,-0.32,2.78,1.63,30.79
0.25,-0.06,0.95,-0.67,2.84,1.42,30.84
0.25,-0.07,0.94,-0.92,2.93,1.18,30.84
0.25,-0.05,0.93,-1.82,1.79,-0.64,30.79
0.24,-0.05,0.93,-2.03,-0.02,-0.09,30.84
0.24,-0.05,0.94,0.87,-0.87,0.41,30.74
0.24,-0.05,0.97,4.08,-0.61,0.58,30.79
0.24,-0.04,0.96,4.14,0.76,1.68,30.79
0.25,-0.06,0.94,0.58,1.19,1.51,30.74
0.25,-0.06,0.96,-1.91,1.76,1.18,30.74
0.26,-0.07,0.94,-2.56,1.82,-0.75,30.79
0.24,-0.06,0.94,-0.98,0.82,0.14,30.84
0.24,-0.05,0.94,1.42,0.02,0.56,30.79
0.24,-0.06,0.93,2.21,-0.12,0.49,30.79
0.25,-0.05,0.96,1.59,0.09,1.48,30.74
0.25,-0.06,0.96,0.79,1.22,2.26,30.74
0.25,-0.06,0.95,-0.85,1.83,1.5,30.69
0.25,-0.05,0.94,-2.2,1.76,0.87,30.74
0.24,-0.06,0.94,-1.3,1.51,0.78,30.84
0.25,-0.05,0.94,-0.56,1.4,0.5,30.69
0.24,-0.05,0.95,0.92,1.08,0.38,30.69
0.24,-0.05,0.94,-0.4,1.08,0.73,30.74
0.23,-0.06,0.94,0.4,0.66,0.96,30.74
0.24,-0.07,0.95,0.99,0.38,1.21,30.69
0.25,-0.05,0.95,-0.69,0.76,1.42,30.74
0.24,-0.06,0.96,-0.87,1.01,2.4,30.74
0.25,-0.04,0.95,0.46,2.06,2.56,30.69
0.24,-0.05,0.95,2.89,1.51,1.88,30.65
0.24,-0.05,0.95,3.66,0.26,1.56,30.74
0.24,-0.05,0.96,1.51,-0.24,1.24,30.79
0.24,-0.06,0.96,-0.61,0.95,1.16,30.69
0.24,-0.07,0.94,-3.33,1.97,0.89,30.84
0.23,-0.06,0.95,-5.69,1.5,0.73,30.69
0.23,-0.07,0.95,-3.89,0.18,0.37,30.88
0.24,-0.06,0.95,-2.06,0.14,0.47,30.74
0.23,-0.06,0.96,-0.4,0.14,0.92,30.84
0.23,-0.07,0.96,-1.27,0.34,2.02,30.69
0.23,-0.06,0.96,-1.37,0.61,2.95,30.84
0.25,-0.06,0.96,0.43,1.05,3.48,30.65
0.25,-0.06,0.95,3.04,0.6,3.31,30.69
0.24,-0.07,0.96,4.98,-0.79,3.42,30.84
0.24,-0.08,0.96,6.09,-0.79,3.6,30.84
0.24,-0.08,0.96,4.84,0.89,3.98,30.79
0.25,-0.07,0.95,2.03,2.26,3.36,30.84
0.25,-0.06,0.94,-2.17,1.73,2.66,30.84
0.24,-0.05,0.94,-4.26,0.98,2.4,30.79
0.24,-0.06,0.95,-1.73,1.36,2.98,30.79
0.24,-0.04,0.95,1.18,1.13,3.33,30.74
0.26,-0.05,0.93,2.55,1.16,3.42,30.74
0.25,-0.05,0.94,2.38,0.82,2.87,30.79
0.25,-0.05,0.94,2.95,0.85,3.48,30.65
0.25,-0.05,0.94,2.02,1.08,2.89,30.74
0.25,-0.06,0.93,0.0,0.47,1.53,30.88
0.25,-0.05,0.95,-0.38,1.13,2.47,30.84
0.25,-0.04,0.96,1.24,1.63,3.76,30.84
0.26,-0.04,0.95,3.11,2.06,2.49,30.88
0.25,-0.04,0.94,1.92,1.28,2.87,30.88
0.25,-0.05,0.93,0.31,0.47,1.3,30.65
0.25,-0.06,0.94,0.46,0.9,1.22,30.79
0.25,-0.05,0.94,1.21,1.56,1.18,30.88
0.25,-0.05,0.95,0.79,1.34,2.63,30.74
0.24,-0.05,0.94,0.41,0.99,2.79,30.74
0.25,-0.06,0.95,1.65,1.18,2.78,30.79
0.24,-0.05,0.95,3.11,1.31,2.61,30.84
0.24,-0.04,0.94,1.91,1.25,1.53,30.74
