acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.22,-0.01,0.97,2.24,0.03,0.9,31.26
0.22,-0.0,0.97,2.23,1.24,0.61,31.35
0.22,-0.01,0.95,0.6,1.39,-0.41,31.21
0.21,0.0,0.96,-0.12,1.33,0.69,31.17
0.21,0.0,0.94,-1.07,1.24,0.17,31.07
0.21,-0.0,0.93,-4.15,0.49,-1.77,31.21
0.21,0.01,0.95,-7.34,-0.23,-0.12,31.31
0.21,0.0,0.96,-5.51,-0.75,0.98,31.17
0.21,-0.01,0.97,-0.92,0.18,1.21,31.21
0.21,-0.01,0.96,0.17,0.46,0.21,31.26
0.21,-0.02,0.97,2.75,-0.29,1.08,31.26
0.2,-0.01,0.97,4.61,0.78,0.95,31.21
0.21,-0.01,0.95,4.55,1.15,-0.12,31.17
0.21,-0.01,0.93,1.89,0.81,-0.14,31.26
0.21,0.0,0.95,-1.34,-0.02,1.51,31.21
0.2,-0.02,0.96,-1.8,-0.99,1.04,31.26
0.21,-0.03,0.95,-0.84,-1.47,0.66,31.26
0.21,-0.03,0.96,2.08,-0.85,2.05,31.21
0.21,-0.01,0.96,-0.18,0.18,1.48,31.21
0.21,-0.02,0.97,-1.71,0.53,1.3,31.17
0.22,-0.01,0.95,-0.06,1.19,1.86,31.12
0.22,0.0,0.95,3.83,1.54,2.46,31.21
0.22,0.0,0.94,3.51,0.7,0.95,31.26
0.23,-0.01,0.93,1.21,-1.27,1.05,31.21
0.23,0.01,0.93,-2.67,-2.12,1.31,31.12
0.22,-0.0,0.97,-2.92,-1.53,1.24,31.26
0.21,-0.02,0.97,1.21,0.24,1.74,31.26
0.22,-0.0,0.96,4.08,1.13,0.78,31.21
0.22,-0.01,0.96,3.36,0.32,1.63,31.26
0.22,0.0,0.96,1.27,0.0,2.34,31.17
0.23,-0.0,0.96,0.93,0.99,2.37,31.12
0.23,-0.01,0.96,0.43,1.88,2.58,31.21
0.23,-0.0,0.96,-0.11,1.91,1.73,31.26
0.22,-0.02,0.96,0.63,1.34,0.18,31.21
0.21,-0.02,0.95,-0.18,0.49,-0.81,31.17
0.21,-0.02,0.96,1.3,0.02,-1.37,31.17
0.22,-0.0,0.94,0.17,1.05,-1.1,31.21
0.21,-0.01,0.97,0.32,0.7,-0.02,31.21
0.2,-0.02,0.96,-1.13,0.81,-0.08,31.17
0.21,-0.02,0.94,-0.76,1.01,-0.92,31.21
0.21,-0.01,0.95,1.6,1.42,1.54,31.21
0.21,-0.02,0.95,3.16,1.19,2.26,31.26
0.21,-0.01,0.94,1.15,0.55,1.22,31.21
0.22,-0.0,0.94,-1.71,0.21,0.58,31.21
0.23,0.01,0.93,-2.61,0.23,0.05,31.17
0.22,0.01,0.98,0.53,-0.49,2.0,31.12
0.21,0.0,0.97,2.61,-0.09,1.62,31.21
0.22,-0.01,0.96,5.19,0.52,1.19,31.17
