acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.18,0.01,0.96,-2.6,2.18,0.89,31.45
0.19,0.02,0.94,-4.0,2.23,-0.06,31.4
0.19,0.02,0.96,-1.11,0.76,-1.07,31.49
0.19,0.01,0.96,1.74,-0.66,-2.32,31.45
0.19,0.01,0.98,1.53,-1.02,-1.02,31.49
0.19,-0.0,0.98,-0.72,0.69,-0.56,31.49
0.18,-0.01,0.98,-1.1,2.67,0.9,31.45
0.18,-0.01,0.98,-0.52,4.14,2.6,31.49
0.18,0.02,0.95,-0.63,2.82,2.4,31.4
0.19,0.01,0.95,-0.32,1.16,0.84,31.54
0.18,0.02,0.96,2.27,-0.44,0.08,31.4
0.19,0.02,0.95,2.89,-0.69,-1.18,31.4
0.18,0.0,0.97,2.6,-1.33,0.49,31.35
0.19,-0.01,0.97,1.08,-0.06,0.79,31.49
0.19,0.01,0.96,-0.21,1.44,1.48,31.49
0.19,-0.0,0.94,-1.11,1.25,1.13,31.45
0.19,0.01,0.95,-3.83,-0.14,-0.23,31.49
0.18,0.01,0.95,-5.5,-0.87,-0.11,31.4
0.19,0.01,0.94,-5.16,-1.16,0.55,31.45
0.19,0.02,0.94,-3.28,-2.15,-0.15,31.49
0.19,0.02,0.96,-0.53,-2.55,-1.22,31.49
0.19,0.02,0.97,1.05,-2.18,-0.9,31.45
0.2,0.0,0.97,1.07,-0.69,-0.05,31.4
0.2,0.01,0.98,-0.18,1.62,1.16,31.4
0.2,0.01,0.98,-1.91,2.9,1.86,31.54
0.19,-0.0,0.95,-1.3,2.9,0.93,31.4
0.19,-0.01,0.96,1.05,1.76,1.31,31.4
0.19,-0.0,0.96,1.28,0.67,1.18,31.45
0.19,0.01,0.97,1.53,0.82,1.8,31.4
0.2,0.0,0.96,3.05,1.8,2.84,31.4
0.2,0.01,0.95,3.36,2.12,2.08,31.45
0.2,0.02,0.95,1.91,0.29,1.51,31.4
0.2,0.03,0.95,0.18,0.12,1.4,31.4
0.19,0.02,0.94,1.37,0.37,1.53,31.45
0.18,0.02,0.95,2.56,0.7,0.64,31.4
0.19,0.02,0.96,2.02,0.66,0.92,31.49
0.18,0.01,0.94,-0.55,-0.09,1.53,31.45
0.19,0.01,0.94,-1.83,-0.06,0.49,31.49
0.19,0.02,0.96,-0.31,0.31,-0.02,31.35
0.2,0.01,0.96,0.64,-0.49,-0.03,31.54
0.2,0.01,0.96,0.27,-0.69,0.5,31.49
0.2,0.02,0.97,-0.79,0.5,1.01,31.35
0.19,0.01,0.96,-1.56,2.49,-0.12,31.45
0.19,0.02,0.96,-1.57,2.72,0.27,31.4
0.19,0.02,0.95,-3.36,1.71,0.03,31.45
0.19,0.02,0.95,-3.16,1.05,-0.11,31.45
0.2,0.02,0.94,-1.54,1.5,-0.4,31.4
0.18,0.01,0.96,0.41,2.12,-0.15,31.49
0.19,-0.0,0.95,1.31,1.66,1.05,31.45
0.19,0.01,0.95,-1.53,1.69,0.29,31.4
0.19,0.01,0.96,-2.03,1.94,1.01,31.45
0.19,0.0,0.96,0.17,2.05,1.16,31.4
0.18,-0.0,0.96,3.04,2.27,0.69,31.4
0.18,0.0,0.96,3.22,1.19,1.6,31.45
0.18,0.01,0.94,-0.06,0.46,1.13,31.49
0.18,0.01,0.94,-2.79,0.99,0.96,31.49
0.18,0.01,0.95,-4.0,1.05,0.53,31.35
0.18,0.02,0.94,-3.3,0.08,0.7,31.4
0.18,0.02,0.95,-1.36,-0.82,0.75,31.49
0.17,0.0,0.96,0.63,-1.66,0.53,31.45
0.18,-0.01,0.97,0.61,-1.44,1.15,31.4
0.18,-0.0,0.96,0.03,-0.2,1.53,31.4
0.17,-0.01,0.96,-0.05,0.92,2.79,31.45
0.17,-0.01,0.97,0.31,0.78,3.22,31.4
0.17,-0.01,0.97,0.08,-0.43,3.77,31.49
0.18,-0.0,0.97,-0.09,-1.16,3.36,31.45
0.17,-0.02,0.98,-0.34,-0.72,2.9,31.4
0.16,-0.02,0.98,-1.5,0.23,3.13,31.49
0.16,-0.01,0.98,-1.25,0.75,3.66,31.54
0.15,-0.01,0.99,0.96,1.1,3.89,31.49
0.15,-0.02,0.99,4.34,0.92,4.17,31.49
0.14,-0.02,0.99,5.79,1.04,5.77,31.45
0.14,-0.03,0.98,3.21,1.54,6.63,31.49
0.13,-0.03,0.99,1.15,2.4,8.11,31.49
0.13,-0.03,0.99,0.05,4.64,10.23,31.54
0.12,-0.04,0.99,1.07,5.85,10.43,31.49
0.11,-0.03,1.0,3.02,6.27,8.47,31.4
0.08,-0.01,0.98,7.24,4.35,6.66,31.45
0.05,-0.01,0.96,14.43,1.53,2.99,31.49
0.0,-0.01,0.96,17.57,-2.41,0.21,31.49
-0.04,-0.06,0.99,17.95,-5.53,3.21,31.54
-0.09,-0.08,1.03,18.49,-8.76,8.96,31.4
-0.11,-0.1,1.07,17.45,-5.73,17.18,31.49
-0.13,-0.13,1.09,18.35,-2.67,25.53,31.45
-0.12,-0.14,1.12,18.66,0.32,32.56,31.49
-0.11,-0.14,1.12,19.97,3.05,40.79,31.49
-0.1,-0.13,1.13,18.69,5.36,49.74,31.54
-0.08,-0.12,1.1,14.26,8.76,54.26,31.59
-0.09,-0.12,1.12,14.17,12.31,60.05,31.49
-0.08,-0.08,1.12,14.05,15.36,63.95,31.45
-0.06,-0.03,1.1,13.28,17.66,65.44,31.4
-0.05,0.0,1.06,17.13,18.2,63.83,31.49
-0.06,-0.01,1.06,25.11,17.01,62.58,31.45
-0.06,0.02,1.06,35.88,17.16,62.18,31.49
-0.07,0.01,1.03,40.73,17.74,63.4,31.49
-0.07,-0.02,0.99,42.05,17.95,66.92,31.45
-0.07,-0.03,0.98,36.55,18.14,69.47,31.4
-0.05,-0.01,0.99,28.98,17.88,73.27,31.49
-0.02,0.02,0.98,21.34,17.1,73.63,31.35
