acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.21,-0.02,0.96,0.44,-4.5,1.53,31.12
0.22,-0.02,0.99,-1.65,-2.41,3.59,31.26
0.22,-0.02,0.99,-3.02,-0.82,3.21,31.26
0.22,-0.0,1.0,-3.44,0.61,3.74,31.31
0.22,0.01,0.97,-2.67,2.18,2.21,31.31
0.21,-0.0,0.97,0.64,2.24,1.97,31.17
0.21,0.01,0.96,1.97,1.27,1.02,31.21
0.21,0.01,0.94,0.76,0.41,1.08,31.26
0.21,-0.01,0.94,-0.63,-0.2,1.63,31.26
0.21,0.01,0.95,-1.56,0.58,2.15,31.31
0.21,0.01,0.96,-1.65,0.47,2.6,31.26
0.2,0.0,0.94,-1.57,-0.58,1.92,31.26
0.21,-0.0,0.96,0.7,-1.5,1.71,31.31
0.21,0.0,0.94,0.37,-1.27,-0.23,31.17
0.21,-0.0,0.96,0.34,-2.09,0.43,31.26
0.2,-0.02,0.95,0.79,-1.83,1.21,31.31
0.21,-0.02,0.96,3.54,-2.35,1.89,31.21
0.22,-0.01,0.97,4.47,-2.4,2.7,31.26
0.21,-0.02,0.97,3.8,-2.15,2.23,31.31
0.23,-0.0,0.98,2.0,-1.44,2.44,31.21
0.23,0.01,1.0,-0.06,0.32,2.37,31.26
0.23,0.02,0.98,-0.27,1.69,2.64,31.31
0.23,0.01,0.97,0.72,2.99,2.09,31.31
0.21,0.03,0.94,1.31,2.95,0.41,31.26
0.21,-0.01,0.94,1.89,1.13,-0.95,31.21
0.2,-0.03,0.94,1.92,0.85,-0.24,31.21
0.2,-0.02,0.95,0.92,1.24,0.23,31.26
0.2,-0.01,0.95,-4.78,2.31,0.96,31.31
0.2,-0.02,0.94,-6.08,2.52,2.81,31.31
0.21,-0.01,0.94,-3.15,2.35,2.49,31.26
0.21,-0.02,0.95,2.61,0.69,2.82,31.21
0.22,-0.01,0.96,3.39,0.81,1.66,31.21
0.2,-0.02,0.96,0.99,1.42,2.87,31.26
0.21,-0.0,0.95,-1.82,3.62,3.89,31.26
0.2,-0.01,0.93,-2.18,3.89,3.31,31.21
0.21,0.0,0.95,-0.85,2.03,3.37,31.26
0.2,-0.01,0.93,1.11,-0.14,2.32,31.26
0.21,-0.01,0.95,1.76,-0.4,1.97,31.21
0.21,-0.0,0.96,1.48,1.01,3.33,31.26
0.21,-0.01,0.94,-0.18,1.48,2.99,31.26
0.2,-0.01,0.93,-2.11,1.5,2.26,31.31
0.21,-0.0,0.95,-0.81,1.42,2.87,31.4
