acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.25,0.12,0.92,0.17,1.69,3.4,30.84
0.25,0.14,0.92,-1.51,1.1,3.63,30.84
0.25,0.15,0.93,-2.08,0.7,2.87,30.74
0.27,0.18,0.94,-0.64,1.04,2.03,30.79
0.27,0.19,0.92,-0.09,0.69,-0.27,30.84
0.26,0.16,0.93,-0.23,-0.53,-1.63,30.69
0.27,0.16,0.92,-3.19,-0.93,-2.53,30.88
0.26,0.15,0.94,-4.6,-1.89,-0.99,30.74
0.26,0.14,0.92,-2.52,-0.32,-1.22,30.74
0.26,0.13,0.92,-0.02,-0.99,-1.89,30.88
0.26,0.12,0.93,0.89,-2.21,-1.22,30.84
0.27,0.12,0.94,0.78,-2.82,0.67,30.84
0.27,0.14,0.96,0.29,-0.78,2.14,30.79
0.27,0.15,0.95,2.84,1.18,4.34,30.84
0.28,0.16,0.94,2.98,2.05,4.9,30.84
0.28,0.17,0.92,0.75,1.83,2.99,30.74
0.27,0.17,0.92,-1.94,0.7,3.28,30.79
0.27,0.16,0.91,-4.21,-0.18,2.4,30.74
0.28,0.16,0.92,-3.8,0.02,0.34,30.79
0.27,0.17,0.94,-2.15,0.09,-1.56,30.69
0.27,0.14,0.95,0.02,0.21,-1.56,30.84
0.26,0.14,0.95,-0.03,0.23,-0.66,30.79
0.25,0.14,0.95,1.16,0.5,1.42,30.88
0.28,0.14,0.94,2.03,1.71,1.89,30.84
0.27,0.14,0.94,-0.05,1.01,-0.03,30.84
0.26,0.14,0.92,0.4,-0.95,-0.26,30.79
0.25,0.13,0.93,1.42,-1.34,0.53,30.84
0.27,0.11,0.93,2.79,-1.22,1.66,30.84
0.27,0.12,0.93,1.63,-1.63,1.82,30.74
0.27,0.14,0.95,0.37,-0.95,1.86,30.79
0.27,0.15,0.96,0.95,0.44,3.97,30.84
0.27,0.15,0.95,-0.11,1.85,2.84,30.79
0.27,0.15,0.95,0.66,2.49,2.46,30.69
0.28,0.16,0.94,1.36,2.63,-0.2,30.84
0.26,0.15,0.92,3.34,1.16,-1.31,30.79
0.25,0.14,0.92,1.77,-0.95,-1.42,30.79
0.26,0.13,0.91,0.29,-1.76,-2.21,30.84
0.26,0.13,0.94,-0.06,-1.21,-0.53,30.84
0.26,0.15,0.95,0.38,0.09,1.62,30.79
0.26,0.15,0.93,-1.56,0.29,0.37,30.74
0.26,0.16,0.92,-1.44,0.27,-0.55,30.74
0.27,0.15,0.92,1.83,-0.53,-1.25,30.79
0.27,0.16,0.95,2.6,-0.38,-2.37,30.84
0.26,0.12,0.96,2.79,-0.53,1.42,30.93
0.27,0.15,0.95,-1.1,2.31,2.11,30.79
0.27,0.14,0.94,-4.87,4.56,2.29,30.88
0.28,0.15,0.93,-3.89,5.1,2.2,30.74
0.28,0.16,0.89,-3.5,3.65,-2.49,30.79
0.25,0.15,0.9,-3.83,-0.95,-3.25,30.79
0.26,0.15,0.94,-2.79,-3.27,-2.23,30.74
0.26,0.13,0.95,-1.6,-1.25,-3.1,30.88
0.27,0.12,0.96,0.27,1.74,-1.79,30.79
0.27,0.13,0.95,-0.44,2.23,-0.05,30.93
0.28,0.14,0.95,-3.08,1.6,-0.9,30.84
0.28,0.16,0.94,-5.77,1.5,-1.65,30.79
0.28,0.16,0.96,-4.44,2.85,-0.61,30.84
0.29,0.16,0.94,-4.75,4.35,-1.53,30.74
0.26,0.17,0.93,-2.73,2.99,0.15,30.79
0.27,0.15,0.92,-2.81,2.52,-1.25,30.79
0.26,0.14,0.94,-1.74,1.53,-2.58,30.74
0.26,0.14,0.94,0.63,1.95,-2.09,30.69
0.27,0.14,0.95,2.56,3.24,-1.04,30.79
0.26,0.11,0.93,2.12,3.59,-1.15,30.84
0.27,0.13,0.92,-2.03,2.52,-0.93,30.69
0.27,0.13,0.91,-3.36,1.02,-1.8,30.88
0.27,0.13,0.94,-1.56,0.99,-2.46,30.74
0.26,0.13,0.96,1.73,0.47,-0.06,30.84
0.26,0.13,0.94,0.43,2.17,-0.64,30.79
0.26,0.14,0.93,-0.56,3.21,-0.38,30.74
0.26,0.13,0.91,-1.63,2.93,-0.66,30.84
0.25,0.12,0.92,0.73,0.99,-1.3,30.79
