acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.14,-0.05,0.97,-2.03,1.34,0.09,30.65
0.14,-0.05,0.97,-1.33,0.75,0.27,30.69
0.13,-0.05,0.97,-2.34,0.26,-0.2,30.69
0.12,-0.06,0.97,-2.52,0.34,-0.03,30.65
0.12,-0.06,0.96,-3.16,0.44,-0.82,30.69
0.12,-0.07,0.96,-1.33,-0.84,0.05,30.69
0.14,-0.04,0.98,-0.15,-0.66,2.72,30.74
0.14,-0.07,0.98,0.2,0.03,3.1,30.65
0.14,-0.06,0.98,-0.5,1.07,3.02,30.69
0.14,-0.06,0.99,-0.78,2.06,2.75,30.74
0.14,-0.06,0.98,0.81,2.23,3.21,30.69
0.14,-0.06,0.97,2.55,1.88,2.49,30.69
0.15,-0.05,0.96,2.34,1.3,2.38,30.65
0.13,-0.05,0.97,3.3,0.37,1.02,30.74
0.15,-0.05,0.97,1.94,0.84,0.9,30.69
0.13,-0.06,0.98,1.39,0.6,0.9,30.65
0.13,-0.06,0.99,3.86,0.96,1.16,30.74
0.12,-0.07,0.97,4.49,2.56,0.67,30.69
0.12,-0.07,0.97,4.66,2.02,1.16,30.74
0.13,-0.06,0.96,2.21,1.25,1.76,30.65
0.12,-0.05,0.97,0.98,1.59,2.7,30.69
0.13,-0.05,0.97,0.79,2.49,2.85,30.74
0.11,-0.05,0.97,2.67,2.08,2.85,30.74
0.12,-0.05,0.97,5.47,0.6,2.82,30.6
0.12,-0.05,0.96,4.35,-0.79,1.98,30.69
0.12,-0.06,0.97,1.95,-0.63,0.96,30.74
0.13,-0.05,0.97,0.55,0.29,0.21,30.69
0.13,-0.05,0.97,0.27,0.95,0.56,30.69
0.13,-0.05,0.98,1.36,0.12,0.46,30.74
0.14,-0.05,0.97,2.64,0.06,0.52,30.69
0.13,-0.05,0.98,3.11,0.21,0.63,30.69
0.13,-0.06,0.99,2.7,0.82,2.18,30.65
0.13,-0.05,0.96,2.03,1.98,2.55,30.65
0.12,-0.06,0.96,0.14,2.23,1.53,30.69
0.14,-0.04,0.97,-0.35,1.22,1.91,30.65
0.14,-0.04,0.96,-0.46,1.44,1.1,30.74
0.13,-0.04,0.98,-1.47,1.07,-0.09,30.69
0.13,-0.06,0.97,-1.39,1.04,-0.75,30.74
0.13,-0.05,0.98,-1.07,1.33,-0.49,30.65
0.13,-0.05,0.97,-0.09,1.3,0.0,30.69
0.13,-0.03,0.97,1.57,1.45,2.37,30.74
0.14,-0.06,0.97,1.36,1.04,2.66,30.55
0.13,-0.06,0.97,1.13,1.24,2.58,30.79
0.12,-0.05,0.97,0.27,1.5,2.53,30.69
0.12,-0.06,0.98,0.47,1.47,3.04,30.65
0.13,-0.07,0.97,-0.49,1.68,2.56,30.65
0.12,-0.04,0.96,-1.08,1.65,2.75,30.69
0.13,-0.06,0.97,-0.35,1.85,2.81,30.74
0.13,-0.06,0.96,0.17,1.71,2.0,30.74
0.12,-0.06,0.95,1.13,0.26,1.51,30.69
