acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.17,0.01,0.95,-2.53,1.63,-0.21,30.93
0.17,0.0,0.94,-3.04,1.22,-0.14,30.88
0.18,-0.0,0.95,-2.4,0.02,-0.4,30.88
0.16,-0.02,0.96,-0.55,-1.21,0.11,30.93
0.17,-0.02,0.97,1.4,-1.34,1.11,30.84
0.17,-0.01,0.99,0.24,-0.73,1.66,30.88
0.18,-0.01,0.98,-1.39,0.52,1.34,30.84
0.18,-0.01,1.0,-1.91,1.92,1.36,30.84
0.17,-0.01,0.98,-0.09,1.37,1.76,30.98
0.18,-0.0,0.97,1.07,0.44,0.96,30.84
0.18,-0.01,0.99,1.59,-0.47,0.87,30.84
0.18,-0.0,0.98,1.01,0.37,1.91,30.98
0.17,-0.0,0.97,-1.37,2.17,2.06,30.84
0.18,0.0,0.97,-2.35,3.08,2.15,30.84
0.18,-0.0,0.96,-2.11,2.43,1.69,30.88
0.18,0.0,0.95,-0.93,1.02,0.75,30.88
0.18,-0.01,0.97,0.73,-0.17,0.92,30.84
0.19,-0.0,0.97,1.25,0.31,1.68,30.84
0.17,0.0,0.96,0.27,0.67,1.95,30.88
0.19,0.02,0.97,-1.21,1.08,1.11,30.93
0.19,0.01,0.96,-1.68,1.73,0.7,30.98
0.18,0.0,0.96,-1.31,1.07,0.92,30.98
0.18,-0.0,0.96,0.84,0.76,0.5,30.93
0.18,0.0,0.97,0.37,0.15,0.7,30.84
0.18,-0.0,0.97,-1.8,-0.2,0.06,30.98
0.17,-0.01,0.98,-2.37,0.92,0.17,30.74
0.18,-0.01,0.96,-1.15,1.83,1.11,30.84
0.18,-0.01,0.95,0.23,1.18,1.4,30.88
0.17,-0.02,0.96,1.16,-0.96,1.6,30.84
0.17,-0.01,0.97,1.91,-1.47,2.47,30.84
0.18,0.0,0.97,0.02,-0.41,1.62,30.84
0.18,-0.0,0.97,-1.04,0.64,0.34,30.88
0.17,-0.0,0.97,-0.34,0.46,0.37,30.93
0.17,-0.01,0.96,0.99,-0.55,0.58,30.98
0.18,-0.0,0.97,0.4,-0.79,0.67,30.88
0.18,0.0,0.97,0.0,0.44,1.24,30.93
0.17,-0.0,0.97,0.24,1.5,1.89,30.93
0.18,-0.01,0.95,0.0,0.89,1.48,30.88
0.17,-0.01,0.96,-0.6,-0.99,0.99,30.93
0.18,0.01,0.96,-0.73,-1.25,0.93,30.84
0.18,-0.01,0.95,-1.98,-0.24,0.18,30.88
0.18,-0.01,0.94,-2.99,-0.17,0.41,30.93
0.17,-0.02,0.97,-2.84,-1.15,0.63,30.93
0.18,-0.02,0.97,-0.98,-1.8,0.38,30.93
0.17,-0.02,0.98,-0.06,-1.13,0.67,30.88
0.18,-0.03,0.97,0.27,0.08,0.81,30.84
0.18,-0.02,0.96,-1.22,0.73,1.18,30.88
0.17,-0.01,0.97,-3.4,1.25,1.6,30.98
0.17,-0.01,0.96,-3.76,0.87,1.77,30.93
0.18,-0.01,0.96,-1.98,0.14,1.54,30.98
0.17,-0.01,0.96,0.03,-0.7,1.94,30.88
0.17,-0.0,0.98,0.32,-0.96,1.47,30.84
0.17,-0.01,0.97,-0.56,-0.43,1.71,30.88
0.18,-0.01,0.96,-1.76,0.53,1.88,30.98
0.18,-0.01,0.96,-3.42,0.03,1.86,30.93
0.17,-0.02,0.97,-3.6,-0.11,1.77,30.93
0.18,-0.02,0.99,-2.58,0.64,2.49,30.88
0.17,-0.02,0.99,-0.98,0.9,3.54,30.93
0.18,-0.02,0.97,-1.47,1.25,4.08,30.84
0.19,-0.01,0.96,-4.35,1.3,2.73,30.88
0.18,0.0,0.96,-5.82,1.42,1.82,30.93
0.17,-0.01,0.97,-2.72,0.87,2.11,30.84
0.17,-0.03,0.97,-2.26,0.09,3.04,30.88
0.17,-0.01,0.98,-4.09,-0.81,2.87,30.93
0.18,-0.01,0.96,-4.06,1.28,4.0,30.93
0.18,0.01,0.96,-2.53,2.23,3.37,30.88
0.16,-0.03,0.97,-1.68,0.96,3.42,30.88
0.19,0.0,0.97,-4.06,-0.72,2.37,30.93
0.17,-0.02,0.98,-2.6,-0.02,2.58,30.84
0.17,-0.01,0.98,0.03,0.89,3.65,30.88
0.17,-0.03,0.95,-3.95,0.15,2.73,30.93
0.18,-0.02,0.96,-3.37,0.69,1.85,30.88
0.18,-0.03,0.98,1.18,1.22,2.72,30.88
0.18,-0.02,0.98,1.79,1.13,2.78,30.93
0.18,-0.04,0.96,1.88,0.21,1.76,30.88
0.18,-0.03,0.97,1.66,0.87,2.02,30.88
0.18,-0.02,0.97,2.37,1.07,1.07,30.93
0.18,-0.02,0.96,2.78,0.96,1.45,30.88
