acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.38,0.13,0.91,-3.15,-2.79,-2.63,30.74
0.38,0.13,0.92,-4.37,-1.28,-2.73,30.65
0.4,0.13,0.91,-4.5,0.11,-2.15,30.6
0.38,0.12,0.93,-2.9,0.18,-1.04,30.6
0.38,0.1,0.93,-1.27,0.05,0.02,30.65
0.38,0.1,0.93,1.05,0.2,1.39,30.69
0.38,0.13,0.94,2.14,2.79,3.39,30.69
0.38,0.13,0.92,1.34,4.85,3.53,30.65
0.37,0.13,0.89,0.29,4.18,2.46,30.6
0.37,0.12,0.89,0.03,1.68,0.67,30.6
0.37,0.13,0.89,-1.34,-0.15,-0.32,30.65
0.36,0.12,0.91,-1.66,-0.61,1.56,30.55
0.35,0.11,0.92,-2.32,2.64,2.72,30.79
0.37,0.12,0.9,-3.59,4.18,2.84,30.65
0.37,0.14,0.89,-2.29,3.98,3.82,30.65
0.36,0.13,0.89,0.02,1.69,1.65,30.6
0.36,0.13,0.89,3.94,-1.07,0.06,30.55
0.37,0.14,0.9,4.69,-1.83,-0.34,30.65
0.36,0.12,0.9,3.63,-1.33,-0.79,30.69
0.36,0.12,0.9,0.52,-0.49,-0.73,30.6
0.37,0.14,0.9,-3.83,-0.03,-0.98,30.65
0.38,0.13,0.9,-3.92,-0.12,-1.24,30.6
0.38,0.14,0.91,-2.75,-0.49,-1.39,30.6
0.38,0.13,0.91,-1.01,-1.02,-0.69,30.65
0.38,0.13,0.93,-0.06,0.12,0.15,30.65
0.38,0.12,0.92,2.37,1.77,1.16,30.69
0.39,0.14,0.89,1.74,2.9,2.7,30.55
0.38,0.14,0.9,-1.92,1.51,3.22,30.55
0.39,0.15,0.91,-3.59,2.32,2.56,30.69
0.39,0.16,0.9,-2.17,3.76,0.78,30.65
0.39,0.15,0.89,-1.94,3.02,-0.92,30.65
0.38,0.14,0.9,-3.07,1.47,-0.24,30.69
0.38,0.12,0.91,0.24,1.24,0.09,30.69
0.39,0.13,0.92,2.06,3.39,0.81,30.65
0.38,0.12,0.92,3.57,4.46,2.38,30.69
0.4,0.13,0.91,3.56,4.95,3.88,30.6
0.41,0.15,0.89,1.77,6.18,3.1,30.65
0.42,0.16,0.88,-0.09,7.24,3.85,30.55
0.42,0.15,0.87,-2.18,6.93,3.22,30.6
0.41,0.15,0.86,-3.34,6.06,1.66,30.65
0.4,0.14,0.86,-3.63,6.44,3.73,30.74
0.43,0.15,0.83,0.78,6.89,5.16,30.6
0.43,0.16,0.83,-2.85,8.08,5.68,30.65
0.44,0.17,0.82,-3.8,7.21,5.74,30.65
0.47,0.22,0.83,-6.89,9.13,6.73,30.69
0.49,0.21,0.81,-6.0,9.36,4.69,30.6
0.5,0.26,0.83,-4.63,10.58,4.08,30.74
0.52,0.28,0.82,-6.67,11.15,1.3,30.69
0.52,0.27,0.82,-10.49,11.22,-4.2,30.6
0.5,0.24,0.8,-7.37,11.22,-9.63,30.65
0.49,0.2,0.79,-1.74,9.65,-14.95,30.65
0.45,0.15,0.8,3.83,6.58,-17.65,30.6
0.43,0.12,0.79,6.5,4.08,-20.6,30.65
0.42,0.1,0.79,6.47,4.35,-24.6,30.65
0.42,0.1,0.79,8.55,3.05,-32.89,30.6
0.4,0.04,0.75,21.53,-1.94,-38.81,30.65
0.41,0.07,0.8,35.76,-7.5,-39.36,30.74
0.45,0.11,0.83,30.7,-12.82,-37.66,30.6
0.48,0.13,0.86,20.37,-10.34,-32.32,30.69
0.51,0.16,0.82,9.15,-2.11,-32.92,30.65
0.51,0.17,0.84,4.73,-0.66,-35.36,30.6
0.53,0.17,0.86,10.29,-5.24,-40.69,30.6
0.52,0.18,0.88,18.78,-11.57,-50.14,30.65
0.51,0.17,0.88,31.07,-14.26,-56.69,30.65
0.53,0.19,0.88,42.6,-14.09,-58.63,30.6
0.54,0.22,0.95,36.14,-12.92,-52.96,30.65
0.56,0.24,0.99,22.12,-10.11,-45.97,30.65
0.57,0.25,1.0,4.08,0.89,-41.63,30.6
0.56,0.28,0.99,-3.48,13.57,-43.44,30.65
0.54,0.29,0.99,0.63,18.93,-45.44,30.65
0.54,0.31,0.95,6.75,15.91,-52.84,30.69
0.51,0.32,0.93,8.12,10.79,-60.9,30.69
0.48,0.34,0.9,9.91,8.53,-72.58,30.65
0.45,0.32,0.88,14.43,6.21,-85.18,30.69
0.4,0.26,0.9,26.93,-1.66,-93.91,30.6
0.35,0.19,0.94,35.36,-9.54,-94.31,30.74
0.34,0.15,0.96,35.33,-12.81,-86.78,30.65
0.31,0.15,0.96,14.66,-5.69,-76.31,30.6
0.31,0.15,0.98,-7.51,1.73,-67.18,30.65
0.3,0.16,1.0,-20.38,9.45,-59.76,30.65
