acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.15,-0.01,0.98,2.34,-0.17,0.14,31.02
0.16,-0.01,0.98,2.03,-0.27,-0.15,31.02
0.16,-0.0,0.96,-0.23,0.35,-0.31,30.98
0.16,-0.02,0.97,-0.05,0.4,-0.03,30.93
0.16,-0.0,0.98,-0.34,1.18,1.74,31.02
0.17,0.03,0.99,-7.01,4.21,5.39,30.98
0.15,-0.02,0.96,-10.49,7.34,4.14,30.88
0.16,-0.0,0.98,-14.12,8.52,3.89,30.93
0.16,-0.03,0.95,-12.0,5.83,3.18,30.88
0.15,-0.02,0.94,-6.09,0.67,2.2,30.98
0.16,-0.0,0.94,1.45,-2.73,1.85,31.02
0.16,-0.01,0.98,5.42,-3.74,1.4,31.02
0.16,-0.0,0.98,5.3,-2.76,1.48,30.98
0.17,0.01,0.97,3.02,-0.14,1.21,30.93
0.17,-0.0,0.97,1.71,-0.03,1.11,30.98
0.16,-0.01,0.96,1.54,-2.05,0.7,30.98
0.17,0.01,0.96,3.1,-3.74,-0.15,31.02
0.17,0.02,0.97,4.11,-3.65,0.61,30.98
0.17,0.02,0.98,2.17,-1.25,1.73,30.98
0.17,0.0,0.96,-0.67,0.49,1.71,31.02
0.18,0.01,0.97,-3.62,1.25,0.7,31.02
0.17,-0.0,1.0,-4.55,2.03,2.67,30.98
0.16,-0.01,0.97,-1.13,1.51,2.85,31.02
0.16,-0.02,0.99,-0.27,1.56,2.46,30.93
0.16,-0.02,0.98,0.15,0.7,2.73,31.07
0.17,-0.0,0.96,-0.43,0.95,1.48,31.02
0.17,0.01,0.96,-0.6,1.4,1.05,30.93
0.17,-0.0,0.96,-0.24,0.17,0.93,30.98
0.15,-0.02,0.97,2.27,-1.86,1.39,30.88
0.16,-0.01,0.97,5.1,-2.46,1.59,30.93
0.16,-0.0,0.99,5.74,-2.53,2.26,31.07
0.17,-0.0,0.98,2.78,-0.49,1.85,31.07
0.17,0.0,0.99,-0.41,1.74,2.41,31.02
