acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.22,0.03,0.94,-1.88,0.73,-0.49,31.21
0.23,0.03,0.94,-1.98,0.67,-0.38,31.12
0.22,0.03,0.94,-3.04,0.06,-1.34,31.07
0.23,0.03,0.96,-2.53,-0.46,-0.76,31.02
0.23,0.03,0.96,1.15,0.2,0.55,31.17
0.23,0.03,0.94,2.92,1.05,1.89,31.07
0.23,0.03,0.95,3.31,0.85,1.76,31.02
0.23,0.02,0.95,1.07,1.15,2.41,31.17
0.22,0.03,0.94,-0.78,0.64,1.22,31.07
0.25,0.04,0.95,-2.34,1.36,2.0,31.21
0.24,0.03,0.95,-2.9,1.21,1.15,31.12
0.24,0.03,0.94,-4.7,0.99,0.29,31.07
0.23,0.03,0.95,-2.41,0.08,0.47,31.12
0.23,0.04,0.95,-0.08,-0.05,0.85,31.02
0.24,0.03,0.96,0.95,-0.11,1.15,31.17
0.23,0.03,0.96,0.76,0.66,2.05,31.07
0.23,0.02,0.95,0.34,2.35,2.43,31.12
0.23,0.03,0.95,-2.49,3.15,2.63,31.07
0.23,0.02,0.94,-2.7,1.6,2.02,31.07
0.23,0.03,0.92,-2.85,0.78,0.82,31.02
0.23,0.03,0.96,1.73,-0.82,2.02,31.17
0.23,0.03,0.95,2.89,-0.84,2.31,31.07
0.24,0.02,0.95,2.17,-0.84,0.56,31.12
0.23,0.02,0.96,-1.19,0.26,0.99,31.17
0.23,0.03,0.97,-1.88,1.25,2.66,31.26
0.23,0.02,0.97,-1.71,2.44,3.6,31.12
0.24,0.02,0.95,-1.83,2.11,1.98,31.21
0.23,0.02,0.96,1.02,1.45,2.7,31.07
0.24,0.03,0.95,2.75,0.66,1.71,31.12
0.24,0.03,0.95,0.93,-0.4,0.53,31.02
0.24,0.03,0.95,-0.84,-0.87,-0.18,31.07
0.24,0.03,0.95,-0.56,-0.2,0.14,31.12
0.23,0.02,0.98,1.83,-0.15,0.55,31.12
0.25,0.03,0.96,1.24,0.24,2.02,31.17
0.24,0.02,0.96,-1.39,0.85,2.72,31.12
0.24,0.03,0.97,-1.79,1.94,3.71,31.12
0.24,0.02,0.95,0.27,2.5,2.41,31.17
0.23,0.02,0.97,2.18,1.63,2.44,31.12
0.23,0.03,0.96,3.08,0.69,3.11,31.12
0.22,0.02,0.95,-0.72,0.93,2.7,31.12
0.22,0.01,0.94,-1.53,1.16,1.34,31.17
0.21,0.01,0.94,-0.96,1.45,1.33,31.12
0.21,0.02,0.93,-0.66,0.32,0.78,31.17
0.22,0.01,0.93,-1.13,-1.79,0.75,31.07
0.21,0.02,0.95,0.69,-2.02,1.51,31.12
0.22,0.03,0.96,3.33,0.03,3.63,30.98
0.21,0.02,0.96,3.71,1.02,3.95,31.07
0.22,0.03,0.92,0.58,0.61,4.6,31.21
0.2,0.04,0.94,-3.51,0.34,6.56,31.07
0.17,0.02,0.93,-3.62,0.02,6.44,30.98
0.15,0.03,0.95,-2.4,0.17,7.13,31.12
0.14,0.03,0.96,-2.06,-0.72,7.22,31.12
0.12,0.01,0.98,-2.44,-1.5,6.76,31.17
0.09,-0.01,1.0,-2.32,-1.39,8.17,31.12
0.08,-0.03,1.02,-0.89,-1.31,8.98,31.07
0.04,-0.06,1.05,3.79,-1.66,11.63,31.07
0.03,-0.08,1.08,12.2,-0.84,15.94,31.12
-0.0,-0.09,1.08,15.44,1.27,21.73,31.07
-0.03,-0.09,1.1,14.78,4.2,29.22,31.17
-0.08,-0.08,1.11,8.84,9.42,36.35,31.12
-0.13,-0.09,1.12,6.64,15.88,45.74,31.07
-0.17,-0.13,1.1,8.02,21.74,54.84,31.17
-0.19,-0.15,1.09,8.5,23.68,62.79,31.12
-0.16,-0.11,1.11,8.53,21.22,70.81,31.12
-0.14,-0.11,1.12,13.56,17.85,74.11,31.17
-0.13,-0.11,1.16,23.25,16.49,76.89,31.12
-0.12,-0.1,1.18,31.57,16.35,83.27,30.98
-0.11,-0.11,1.17,31.91,18.14,89.21,31.17
-0.08,-0.07,1.18,29.73,25.16,94.79,31.02
-0.07,-0.06,1.16,25.68,28.73,99.07,31.12
-0.05,-0.02,1.12,22.53,31.22,104.31,30.98
-0.04,0.02,1.08,23.73,30.24,105.97,31.12
-0.01,0.07,1.03,25.94,27.22,102.69,31.07
-0.01,0.07,1.01,31.01,21.45,99.16,31.07
0.01,0.1,1.01,32.58,15.89,93.65,31.12
0.05,0.16,1.04,29.82,13.83,90.75,31.02
