acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.25,-0.08,0.94,-1.02,-0.11,-0.79,30.98
0.24,-0.08,0.96,-2.02,-0.79,-0.08,30.93
0.24,-0.09,0.94,-0.14,0.73,0.69,30.84
0.23,-0.08,0.93,3.19,1.74,1.05,30.88
0.24,-0.08,0.94,1.71,0.82,2.0,30.84
0.23,-0.1,0.92,0.46,-0.49,1.57,30.93
0.24,-0.08,0.92,-1.08,-0.05,-0.2,30.88
0.24,-0.08,0.94,-1.95,-0.76,-0.52,30.84
0.23,-0.08,0.94,-0.78,-2.03,0.55,30.84
0.23,-0.08,0.95,1.16,-1.59,0.31,30.88
0.24,-0.1,0.95,2.89,-0.69,-0.41,30.84
0.24,-0.08,0.94,1.13,-1.05,-1.53,30.84
0.24,-0.07,0.94,-1.25,-1.34,-0.35,30.88
0.21,-0.09,0.96,-1.74,-1.88,0.55,30.98
0.23,-0.09,0.95,-1.66,-1.53,0.32,30.84
0.24,-0.1,0.96,-0.32,-0.89,0.66,30.88
0.24,-0.1,0.96,0.24,-0.95,0.63,30.88
0.25,-0.08,0.96,-2.21,-1.01,-0.6,30.93
0.24,-0.1,0.97,-3.19,-1.42,0.69,30.88
0.24,-0.1,0.97,-1.66,-0.4,0.7,30.98
0.24,-0.1,0.97,0.69,0.4,0.02,30.93
0.24,-0.09,0.98,2.24,0.7,1.21,30.84
0.24,-0.1,0.96,2.87,1.28,2.34,30.88
0.24,-0.11,0.96,3.36,1.77,2.26,30.84
0.24,-0.09,0.95,1.24,1.83,0.87,30.88
0.25,-0.07,0.96,-0.15,1.44,1.25,30.79
0.25,-0.07,0.96,-0.15,1.33,2.26,30.93
0.24,-0.09,0.95,0.92,2.24,2.43,30.88
0.24,-0.09,0.95,2.24,2.93,1.88,30.88
0.24,-0.09,0.96,2.99,2.79,3.01,30.93
0.25,-0.08,0.94,1.86,2.44,1.39,30.93
0.24,-0.08,0.95,-0.08,1.98,0.63,30.88
0.24,-0.08,0.95,-0.64,2.09,1.05,30.93
0.23,-0.09,0.93,-0.08,1.76,1.22,30.84
0.23,-0.09,0.94,1.73,1.45,1.56,30.79
0.24,-0.09,0.94,2.15,1.21,1.44,30.84
0.24,-0.1,0.95,2.38,1.44,1.33,30.84
0.25,-0.1,0.94,2.31,2.5,0.72,30.98
0.25,-0.08,0.94,0.64,2.76,1.86,30.98
0.25,-0.07,0.94,-0.37,2.24,2.21,30.93
0.25,-0.07,0.94,-0.66,2.64,2.41,30.88
0.24,-0.09,0.93,1.18,2.31,1.08,30.88
0.24,-0.09,0.91,2.87,1.05,0.79,30.93
0.23,-0.1,0.93,4.69,-0.41,1.48,30.98
0.26,-0.09,0.95,4.34,0.43,2.53,30.88
0.27,-0.1,0.94,1.08,2.14,2.35,30.93
0.27,-0.07,0.93,-3.39,4.06,2.12,30.93
0.28,-0.08,0.93,-3.44,3.51,1.63,30.98
0.27,-0.07,0.94,1.11,3.88,2.52,30.84
0.27,-0.1,0.93,4.34,4.32,1.83,30.84
0.28,-0.1,0.92,3.88,4.02,2.66,30.98
0.28,-0.1,0.92,1.3,4.85,2.85,30.88
0.27,-0.11,0.9,-0.73,6.43,3.08,30.84
0.29,-0.11,0.91,-0.61,6.82,4.79,30.98
0.31,-0.11,0.92,0.17,7.25,6.15,30.79
0.33,-0.12,0.91,-1.08,8.75,7.68,30.93
0.36,-0.13,0.91,-1.66,10.67,8.02,30.88
0.37,-0.13,0.91,-5.13,10.89,6.56,30.88
0.37,-0.15,0.91,-3.63,10.96,8.44,30.93
