acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.21,-0.05,0.94,-2.46,2.27,2.38,31.02
0.2,-0.07,0.94,-2.78,1.15,0.64,30.98
0.2,-0.07,0.95,-0.55,-0.49,0.08,31.07
0.19,-0.07,0.95,2.7,-1.39,-0.09,31.12
0.2,-0.07,0.94,0.66,-1.02,-0.95,31.07
0.2,-0.08,0.96,-1.21,-0.87,-0.09,31.07
0.2,-0.08,0.96,-3.08,0.23,0.89,31.12
0.2,-0.09,0.98,-2.44,0.49,1.91,30.93
0.21,-0.08,0.97,-1.76,0.84,1.13,31.17
0.21,-0.09,0.97,0.58,0.64,0.79,31.02
0.2,-0.08,0.97,1.68,0.76,-0.03,31.12
0.21,-0.07,0.97,2.27,0.67,0.85,31.17
0.2,-0.07,0.95,-0.06,0.76,0.87,31.02
0.19,-0.08,0.95,-2.95,0.18,0.12,31.12
0.2,-0.08,0.95,-3.47,0.26,-0.41,31.07
0.2,-0.08,0.95,-1.65,0.0,-2.0,31.17
0.19,-0.1,0.96,-0.79,-1.21,-1.66,31.12
0.19,-0.09,0.97,-0.75,-1.65,0.66,30.98
0.19,-0.09,0.97,-0.23,0.03,3.39,31.07
0.2,-0.09,0.95,-1.73,2.18,3.82,31.02
0.22,-0.08,0.95,-2.14,1.5,2.84,31.02
0.21,-0.08,0.95,-0.72,0.35,1.63,31.07
0.21,-0.08,0.96,2.32,-0.76,0.89,31.02
0.21,-0.07,0.95,2.03,-0.85,0.31,31.02
0.21,-0.08,0.94,1.08,-0.46,0.76,31.07
0.2,-0.09,0.94,0.41,0.08,0.69,31.02
0.21,-0.07,0.95,-0.66,0.12,1.18,31.12
0.19,-0.08,0.96,-0.43,-0.85,1.74,31.07
0.2,-0.08,0.96,0.09,0.14,2.32,30.98
0.2,-0.07,0.96,0.69,1.47,2.34,31.02
0.21,-0.07,0.95,-0.15,1.11,0.93,30.98
0.21,-0.08,0.93,-0.4,-0.41,-0.21,31.07
0.21,-0.08,0.94,-0.4,-1.28,-0.35,31.12
0.2,-0.08,0.96,-1.21,-0.99,0.53,30.93
0.2,-0.08,0.97,-1.15,0.06,1.33,31.07
0.21,-0.09,0.96,-0.96,1.24,0.53,31.02
0.2,-0.09,0.96,1.28,0.82,1.33,31.02
0.21,-0.08,0.96,1.88,0.03,2.08,30.98
0.21,-0.08,0.95,1.91,0.05,2.52,31.02
0.2,-0.08,0.95,-0.49,0.43,1.8,31.02
0.21,-0.08,0.97,-1.02,0.18,1.94,31.07
0.21,-0.08,0.97,0.61,0.76,1.11,31.07
0.22,-0.07,0.96,1.89,0.82,0.2,31.02
0.21,-0.08,0.95,1.34,0.61,0.64,30.98
0.21,-0.08,0.96,0.85,0.15,1.15,31.07
0.21,-0.08,0.97,0.18,1.21,1.4,31.02
0.22,-0.08,0.96,0.75,2.26,1.65,31.12
0.21,-0.09,0.94,-1.04,2.27,1.05,31.07
0.2,-0.08,0.95,-0.27,1.05,2.21,31.02
0.21,-0.08,0.95,0.69,1.66,1.6,31.12
0.21,-0.08,0.94,0.49,1.36,1.25,31.07
0.2,-0.09,0.93,-1.76,0.93,1.44,31.02
0.21,-0.1,0.94,-1.37,0.32,1.62,31.02
0.21,-0.1,0.96,-0.72,0.81,3.51,30.98
0.23,-0.1,0.95,-2.69,1.18,4.24,31.07
0.24,-0.09,0.96,-4.53,2.11,4.37,31.02
0.24,-0.11,0.95,-3.53,2.84,4.81,31.07
