acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0.23,0.17,0.95,0.27,1.59,1.21,30.69
0.24,0.17,0.94,-0.31,1.91,1.31,30.65
0.22,0.16,0.95,-0.53,0.49,1.68,30.74
0.23,0.17,0.95,1.74,0.23,2.31,30.69
0.24,0.17,0.93,1.28,0.89,1.5,30.65
0.24,0.16,0.93,0.82,1.04,-0.09,30.65
0.23,0.14,0.93,-2.09,0.2,-1.27,30.69
0.23,0.15,0.95,-3.39,-0.31,-0.69,30.69
0.25,0.17,0.93,-4.05,-0.55,0.29,30.74
0.23,0.17,0.97,-1.57,0.06,0.76,30.74
0.23,0.16,0.96,2.73,0.35,0.84,30.69
0.24,0.16,0.96,2.98,0.26,1.19,30.65
0.24,0.15,0.93,-0.37,0.64,-0.53,30.74
0.24,0.16,0.95,-2.53,0.75,1.04,30.69
0.24,0.15,0.95,-3.01,1.3,0.52,30.74
0.24,0.14,0.94,-2.75,1.97,-0.49,30.74
0.24,0.15,0.93,-1.86,1.66,-0.49,30.69
0.21,0.15,0.95,-0.55,1.48,2.76,30.69
0.23,0.15,0.93,0.26,1.42,3.89,30.74
0.24,0.17,0.93,-3.82,2.12,3.3,30.69
0.23,0.18,0.94,-4.78,1.04,3.22,30.69
0.24,0.17,0.95,-2.44,0.95,2.32,30.74
0.24,0.16,0.95,1.74,1.39,1.05,30.65
0.24,0.16,0.96,2.38,0.76,0.41,30.69
0.24,0.17,0.95,-0.46,0.41,-0.61,30.65
0.24,0.16,0.93,-1.6,0.82,-0.95,30.65
0.24,0.15,0.94,-0.06,0.5,-0.03,30.69
0.24,0.14,0.92,0.73,-2.05,-0.66,30.69
0.23,0.14,0.94,0.26,-4.37,-1.19,30.74
0.23,0.14,0.95,2.23,-4.64,-0.85,30.69
0.23,0.13,0.94,3.13,-2.76,-0.85,30.6
0.23,0.14,0.95,2.32,-1.4,1.24,30.74
0.24,0.16,0.96,1.15,-0.18,3.11,30.65
0.25,0.15,0.95,0.37,1.48,3.18,30.79
0.25,0.16,0.95,-3.16,1.69,1.4,30.65
0.24,0.16,0.94,-4.55,0.64,0.98,30.74
0.25,0.17,0.95,-3.28,0.66,1.01,30.65
0.24,0.16,0.95,0.12,1.37,2.05,30.6
0.23,0.16,0.94,2.09,1.73,2.49,30.55
0.23,0.15,0.94,1.77,1.85,2.05,30.69
0.23,0.14,0.93,2.7,1.98,1.89,30.69
0.23,0.15,0.92,3.22,1.53,2.85,30.65
0.23,0.14,0.91,0.08,1.24,1.27,30.79
0.22,0.15,0.92,-0.53,-0.11,2.02,30.69
0.23,0.15,0.91,-0.58,0.27,2.26,30.74
0.23,0.14,0.93,0.37,0.96,3.28,30.65
0.23,0.14,0.93,1.02,0.82,3.88,30.69
0.23,0.14,0.93,-0.32,0.52,4.58,30.74
0.23,0.16,0.93,-0.21,1.39,6.26,30.74
0.23,0.18,0.92,0.38,3.01,6.66,30.65
0.22,0.18,0.92,3.3,3.07,7.74,30.69
0.23,0.17,0.91,5.47,2.6,6.85,30.65
0.23,0.18,0.89,7.24,1.68,6.46,30.69
0.23,0.17,0.89,6.32,0.98,7.48,30.69
0.23,0.17,0.89,2.78,1.02,8.76,30.74
0.23,0.19,0.92,-1.07,3.05,11.27,30.84
0.24,0.22,0.9,-3.71,4.89,13.34,30.79
0.25,0.24,0.88,-4.14,6.85,12.05,30.65
0.27,0.28,0.9,-3.91,6.66,9.8,30.74
0.29,0.3,0.91,1.22,5.79,6.98,30.69
0.28,0.3,0.89,4.67,7.86,1.37,30.6
0.29,0.3,0.88,5.33,8.27,-3.37,30.74
0.28,0.3,0.85,3.15,6.95,-8.44,30.65
0.27,0.31,0.86,4.7,4.61,-12.78,30.6
